質問,東京限定,商品名・メーカー名検索,仏事,おもたせ,日持ち
東京でしか売っていない商品,1,0,0,0,0
東京でしか売ってない商品,1,0,0,0,0
東京限定商品で仏時に使えるもの,1,0,0,0,0
大阪で売っていない商品,1,0,0,0,0
東京土産,1,0,0,0,0
北海道にはない商品,1,0,0,0,0
東京限定で仏事に使用,1,0,1,0,0
東京限定で１０００円以下の商品,1,0,0,0,0
京都にはない商品,1,0,0,0,0
東京限定商品で仏事に使えるもの,1,0,1,0,0
東京ばな奈,0,1,0,0,0
東京ばな奈はどこで売っていますか？,0,1,0,0,0
東京ばな奈はどこにありますか,0,1,0,0,0
東京ばな奈の販売店舗,0,1,0,0,0
ごまたまごはどこで売っていますか？,0,1,0,0,0
ごまたまごはどこにありますか,0,1,0,0,0
ごまたまごを探しています,0,1,0,0,0
ごまたまごの販売店舗,0,1,0,0,0
ひよ子はどこにありますか,0,1,0,0,0
ひよ子はどこで売っていますか？,0,1,0,0,0
ひよ子を探しています,0,1,0,0,0
ひよ子の販売店舗,0,1,0,0,0
ヨックモックのシガール,0,1,0,0,0
シガールはどこで売っていますか？,0,1,0,0,0
シガールを探しています,0,1,0,0,0
仏事で使用する商品を探しています,0,0,1,0,0
仏事に使える商品はどこに売ってますか,0,0,1,0,0
仏事に使える商品は何,0,0,1,0,0
虎屋の羊羹はどこで売ってますか,0,1,0,0,0
福砂屋のカステラを探しています,0,1,0,0,0
黒船のカステラはどこで売っていますか,0,1,0,0,0
草加煎餅はどこで取り扱っていますか,0,1,0,0,0
3000円程度のお土産を探しています,0,0,0,0,0
5000円以下の商品は何かありますか,0,0,0,0,0
10個以上入っている商品を探しています,0,0,0,0,0
会社のお土産です,0,0,0,0,0
会社用で２０００円以内10個以上,0,0,0,0,0
8個入りの商品はありますか,0,0,0,0,0
5人以上に配りたい,0,0,0,0,0
6個入の商品を探している,0,0,0,0,0
仏用で5000円程度の商品,0,0,1,0,0
おもたせで使用したいです,0,0,0,1,0
自宅用で1000円程度の商品を探しています,0,0,0,0,0
自宅用の商品を探しています,0,0,0,0,0
４人家族です。いいお土産はありますか,0,0,0,0,0
東京ミルクチーズ工場のお菓子を探しています,0,1,0,0,0
中村屋のカリーあられを探しています,0,1,0,0,0
羽田限定で1000円くらいの商品,1,0,0,0,0
お渡し用のお土産,0,0,0,1,0
賞味期限が長い,0,0,0,1,0
日持ちする,0,0,0,0,1
期限が長い,0,0,0,0,1
期限が短くない,0,0,0,0,1
日持ちする東京限定菓子,1,0,0,0,1
賞味期限が長い東京限定のお菓子はありますか,1,0,0,0,1
お渡し用の期限の長い商品,0,0,0,1,1
おもたせで使う賞味期限が長いお菓子,0,0,0,1,1
仏用商品,0,0,1,0,0
日持ちの長い仏事に使える商品,0,0,1,0,1
仏事に使える賞味期限の長い商品,0,0,1,0,1
アイル,0,1,0,0,0
東京ｶﾝﾊﾟﾈﾗ,0,1,0,0,0
赤坂柿山,0,1,0,0,0
あ・ら・かしこ,0,1,0,0,0
柿山セレクト,0,1,0,0,0
曙,0,1,0,0,0
味の民芸,0,1,0,0,0
それぞれ,0,1,0,0,0
二十四節花,0,1,0,0,0
浅草中村屋,0,1,0,0,0
浅草こげ煎,0,1,0,0,0
ありあけ,0,1,0,0,0
ありあけハーバーダブルマロン,0,1,0,0,0
麻布かりんと,0,1,0,0,0
かりんとパレット,0,1,0,0,0
アニバーサリー,0,1,0,0,0
お絵かきマカロン,0,1,0,0,0
アンドザフリット,0,1,0,0,0
ドライフリット,0,1,0,0,0
入船堂,0,1,0,0,0
草加煎餅,0,1,0,0,0
ぬれせん,0,1,0,0,0
銚子電鉄のぬれせん,0,1,0,0,0
ひとくち,0,1,0,0,0
ヴィタメール,0,1,0,0,0
マカダミアショコラ,0,1,0,0,0
上野風月堂,0,1,0,0,0
プティゴーフル,0,1,0,0,0
東京カラメリゼ,0,1,0,0,0
栄太楼總本舗,0,1,0,0,0
栄太楼飴,0,1,0,0,0
名代金鍔,0,1,0,0,0
黒豆大福,0,1,0,0,0
東京ピーセン,0,1,0,0,0
越前海鮮倶楽部,0,1,0,0,0
東京から揚げせんべい,0,1,0,0,0
叶匠壽庵,0,1,0,0,0
あも,0,1,0,0,0
羽雲,0,1,0,0,0
かみなり舎,0,1,0,0,0
ﾆｭｰﾖｰｸﾊﾟｰﾌｪｸﾄﾁｰｽﾞ,0,1,0,0,0
亀十,0,1,0,0,0
亀十のどら焼き,0,1,0,0,0
クラブハリエ,0,1,0,0,0
クラブハリエのバームクーヘン,0,1,0,0,0
バームクーヘン,0,1,0,0,0
黒船,0,1,0,0,0
黒船のｶｽﾃﾗ,0,1,0,0,0
カステラ,0,1,0,0,0
桂新堂,0,1,0,0,0
東京もんじゃ焼きえびせんべい,0,1,0,0,0
めんべい,0,1,0,0,0
ｺﾛﾝﾊﾞﾝ,0,1,0,0,0
原宿焼きｼｮｺﾗ,0,1,0,0,0
資生堂ﾊﾟｰﾗｰ,0,1,0,0,0
ﾁｰｽﾞｹｰｷ,0,1,0,0,0
花椿ﾋﾞｽｹｯﾄ,0,1,0,0,0
羽田ﾗ・ｶﾞﾅｯｼｭ,0,1,0,0,0
治一郎,0,1,0,0,0
治一郎のﾊﾞｳﾑｸｰﾍﾝ,0,1,0,0,0
新宿中村屋,0,1,0,0,0
ｶﾘｰあられ,0,1,0,0,0
東京月餅,0,1,0,0,0
清月堂本店,0,1,0,0,0
おとし文,0,1,0,0,0
千疋屋総本店,0,1,0,0,0
西光亭,0,1,0,0,0
くるみのｸｯｷｰ,0,1,0,0,0
東京玉子本舗,0,1,0,0,0
たまや,0,1,0,0,0
東京たまご　ごまたまご,0,1,0,0,0
N.Y.ｷｬﾗﾒﾙｻﾝﾄﾞ,0,1,0,0,0
ニューヨークキャラメルサンド,0,1,0,0,0
築地ちとせ,0,1,0,0,0
天ぷらせんべい,0,1,0,0,0
東京ﾐﾙｸﾁｰｽﾞ工場,0,1,0,0,0
ｿﾙﾄ&ｶﾏﾝﾍﾞｰﾙｸｯｷ,0,1,0,0,0
